buyer_id,sale_id,buyer_type,payment_mode,loan_taken,loan_provider,loan_amount
1,L01179,End User,Cash,False,,0
2,L00866,Investor,Cheque,False,,0
3,L00102,Investor,Cheque,True,Axis,2317757
4,L00440,Investor,Bank Transfer,False,,0
5,L00059,Investor,UPI,True,HDFC,4191221
6,L01121,End User,Cheque,True,PNB,5583760
7,L00324,Investor,Cheque,False,,0
8,L00975,Investor,Cheque,False,,0
9,L00412,Investor,Cheque,False,,0
10,L00856,End User,Cash,True,Axis,4045381
11,L00821,End User,Cash,False,,0
12,L00045,End User,Bank Transfer,False,,0
13,L00050,Investor,Cheque,False,,0
14,L00850,End User,UPI,True,SBI,7930296
15,L00241,Investor,Cheque,True,ICICI,9436023
16,L00171,End User,Bank Transfer,False,,0
17,L00524,Investor,Cash,False,,0
18,L00766,End User,Cash,False,,0
19,L00839,End User,Cash,False,,0
20,L00424,Investor,UPI,False,,0
21,L00381,End User,Cash,True,PNB,5508034
22,L00610,Investor,Bank Transfer,False,,0
23,L00677,End User,UPI,True,Axis,7429696
24,L00345,Investor,Cheque,False,,0
25,L00110,Investor,Cash,True,PNB,2014020
26,L00278,Investor,Bank Transfer,True,Axis,6171213
27,L00678,Investor,Cheque,False,,0
28,L00571,Investor,UPI,True,SBI,2021567
29,L00359,Investor,Cheque,True,Axis,4478227
30,L00599,End User,Bank Transfer,True,Axis,4469398
31,L00391,End User,Cash,True,ICICI,4951639
32,L00894,End User,Cash,False,,0
33,L00693,Investor,UPI,False,,0
34,L00728,End User,Cash,True,ICICI,1662028
35,L00363,End User,UPI,True,ICICI,7964815
36,L00597,Investor,UPI,True,Axis,5143183
37,L00428,Investor,UPI,False,,0
38,L00071,End User,Cash,False,,0
39,L00322,End User,Cheque,False,,0
40,L00653,Investor,Cash,True,PNB,550676
41,L01066,Investor,UPI,False,,0
42,L00108,End User,Cash,False,,0
43,L01109,End User,Cash,True,HDFC,3301801
44,L00356,End User,UPI,False,,0
45,L00951,End User,Bank Transfer,False,,0
46,L00343,End User,Bank Transfer,False,,0
47,L00355,End User,UPI,False,,0
48,L00024,Investor,UPI,False,,0
49,L00044,End User,Cash,True,SBI,8202063
50,L00244,End User,UPI,True,Axis,3699653
51,L00738,End User,Cheque,False,,0
52,L01136,Investor,UPI,False,,0
53,L00368,End User,Cash,True,PNB,1395669
54,L00164,Investor,Cheque,False,,0
55,L01116,End User,Cheque,True,SBI,3770038
56,L00333,Investor,Bank Transfer,True,Axis,1132448
57,L00989,End User,Cash,False,,0
58,L01173,Investor,Bank Transfer,True,SBI,8947538
59,L01002,Investor,UPI,True,ICICI,9805272
60,L00378,End User,Bank Transfer,True,HDFC,9363189
61,L00310,Investor,Bank Transfer,True,SBI,2694012
62,L00156,Investor,Bank Transfer,True,Axis,8294032
63,L00211,Investor,Cheque,True,HDFC,9017430
64,L00087,End User,Bank Transfer,False,,0
65,L00169,End User,Bank Transfer,False,,0
66,L00995,End User,Bank Transfer,False,,0
67,L00052,End User,Cheque,True,PNB,2876544
68,L00439,Investor,Bank Transfer,True,HDFC,9308916
69,L00550,End User,Cash,False,,0
70,L00491,Investor,UPI,False,,0
71,L00426,Investor,Cheque,True,Axis,4781375
72,L00136,End User,Cheque,False,,0
73,L01192,End User,Bank Transfer,False,,0
74,L00055,Investor,Cheque,True,HDFC,5152228
75,L00079,Investor,Cheque,False,,0
76,L00431,Investor,Cheque,False,,0
77,L00185,Investor,UPI,True,ICICI,3674013
78,L00057,End User,Cheque,True,SBI,3469229
79,L00943,Investor,Bank Transfer,True,ICICI,9012788
80,L00851,Investor,Bank Transfer,False,,0
81,L01164,End User,Cash,False,,0
82,L00219,End User,UPI,False,,0
83,L00845,Investor,Cheque,True,PNB,6109307
84,L00114,Investor,UPI,True,Axis,2574905
85,L00549,Investor,Cheque,True,Axis,8411033
86,L01019,Investor,Cash,False,,0
87,L01073,Investor,Cash,True,SBI,6609288
88,L00175,Investor,Cash,False,,0
89,L01023,Investor,Cheque,True,Axis,1778639
90,L00616,End User,UPI,True,ICICI,3282168
91,L00514,Investor,Cheque,False,,0
92,L00462,End User,Cheque,False,,0
93,L00287,End User,Bank Transfer,False,,0
94,L00382,Investor,Bank Transfer,True,ICICI,7733356
95,L01008,Investor,Bank Transfer,False,,0
96,L00671,End User,UPI,False,,0
97,L00535,End User,UPI,False,,0
98,L00910,End User,Cash,False,,0
99,L00293,Investor,Cash,True,HDFC,4628402
100,L00124,End User,Cash,True,SBI,6825324
101,L00583,End User,Bank Transfer,False,,0
102,L00141,Investor,Bank Transfer,True,Axis,8554849
103,L00736,Investor,Cheque,True,PNB,4239057
104,L00082,Investor,Bank Transfer,False,,0
105,L00882,Investor,UPI,False,,0
106,L00740,Investor,UPI,False,,0
107,L01102,Investor,Cheque,False,,0
