attribute_id,listing_id,bedrooms,bathrooms,floor_number,total_floors,year_built,is_rented,tenant_count,furnishing_status,metro_distance_km,parking_available,power_backup
1,L00001,5,3,9.0,9,2001,True,4,Furnished,7.26,False,True
2,L00002,2,2,19.0,29,2020,False,0,Unfurnished,4.84,True,False
3,L00003,2,3,8.0,26,2007,True,4,Semi-Furnished,4.92,False,False
4,L00004,3,3,25.0,10,2003,False,3,Furnished,1.2,False,True
5,L00005,2,2,15.0,16,2008,True,1,Semi-Furnished,7.9,False,False
6,L00006,1,3,9.0,10,2000,False,3,Unfurnished,7.25,True,False
7,L00007,4,3,19.0,37,2012,False,3,Unfurnished,7.69,False,True
8,L00008,5,1,5.0,20,2023,True,2,Unfurnished,3.02,False,True
9,L00009,4,1,25.0,23,1996,True,1,Furnished,7.51,True,True
10,L00010,2,1,10.0,17,2012,True,3,Unfurnished,5.37,False,False
11,L00011,5,4,11.0,14,2021,True,4,Furnished,2.44,False,True
12,L00012,3,1,21.0,11,2010,True,0,Semi-Furnished,2.87,False,False
13,L00013,3,1,6.0,15,2007,False,2,Semi-Furnished,6.2,False,False
14,L00014,1,2,18.0,26,2002,False,3,Unfurnished,3.26,False,True
15,L00015,2,4,19.0,20,2022,True,3,Semi-Furnished,3.76,True,False
16,L00016,3,2,17.0,12,2022,True,4,Unfurnished,6.27,False,True
17,L00017,1,1,25.0,28,2012,True,1,Unfurnished,3.31,False,False
18,L00018,4,3,7.0,25,2008,True,3,Semi-Furnished,3.4,False,False
19,L00019,1,1,25.0,35,1999,False,1,Unfurnished,1.57,False,True
20,L00020,4,1,6.0,16,2015,True,1,Semi-Furnished,0.45,False,False
21,L00021,1,4,17.0,20,2014,True,0,Furnished,5.29,False,False
22,L00022,1,3,0.0,36,2014,False,2,Unfurnished,7.07,True,False
23,L00023,2,3,16.0,27,1998,False,4,Furnished,5.57,False,False
24,L00024,4,4,11.0,38,1996,True,4,Unfurnished,4.76,False,True
25,L00025,2,3,12.0,34,1997,True,4,Unfurnished,1.1400000000000001,False,False
26,L00026,2,2,15.0,28,2017,False,4,Semi-Furnished,1.82,True,True
27,L00027,3,1,2.0,31,2013,False,2,Furnished,3.88,False,True
28,L00028,3,2,17.0,25,2015,True,3,Semi-Furnished,1.87,True,True
29,L00029,3,4,11.0,37,2010,True,2,Furnished,2.2,True,False
30,L00030,5,2,4.0,31,2022,True,4,Unfurnished,7.87,True,False
31,L00031,3,4,0.0,40,2004,False,3,Semi-Furnished,4.71,True,False
32,L00032,3,1,2.0,6,2001,False,0,Furnished,4.17,False,False
33,L00033,2,3,10.0,34,2013,True,2,Unfurnished,2.31,False,True
34,L00034,1,2,16.0,10,2020,False,2,Unfurnished,6.15,False,True
35,L00035,2,1,11.0,16,1999,False,4,Furnished,1.71,False,False
36,L00036,1,4,9.0,30,2017,False,3,Semi-Furnished,5.06,False,True
37,L00037,3,3,5.0,34,1995,False,1,Furnished,0.32,True,False
38,L00038,5,4,18.0,17,2012,True,3,Semi-Furnished,2.5,False,True
39,L00039,5,2,24.0,12,2015,False,3,Semi-Furnished,2.12,False,True
40,L00040,4,1,10.0,23,1995,False,4,Semi-Furnished,5.07,True,False
41,L00041,4,3,2.0,30,2015,True,2,Semi-Furnished,3.74,True,True
42,L00042,5,3,22.0,8,1996,False,2,Semi-Furnished,6.44,False,True
