Listing_ID,City,Property_Type,Price,Sqft,Date_Listed,Agent_ID,Latitude,Longitude
L00001,New York,Apartment,1655144.006669635,2753.009121237,2023-05-06,A0015,33.9652080059,-69.8615892795
L00002,Los Angeles,Apartment,1519141.0026169808,4966.9881928135,2023-02-14,A0038,42.5478920594,-90.2778602519
L00003,Houston,Apartment,162488.9975420714,1267.0039591344,2023-04-22,A0015,28.7323266553,-115.9529818783
L00004,Phoenix,Apartment,1277015.9840670894,2128.0144287921,2024-01-02,A0042,26.4039382837,-74.7714904573
L00005,Phoenix,Townhouse,562297.0068077513,4178.9974210875,2023-10-29,A0018,39.4252516293,-83.9178782667
L00006,New York,House,1564104.0078713011,3961.992615551,2023-06-24,A0018,25.4877926032,-68.7571139192
L00007,Los Angeles,House,1701163.003815294,3257.0150616858,2023-02-22,A0006,44.9691124588,-112.6784942679
L00008,Houston,Apartment,852834.0147462517,3316.9937214813,2023-11-06,A0017,29.3549128014,-114.3646813823
L00009,New York,Townhouse,1224550.9990439962,1522.0077799342,2024-05-13,A0025,32.3025694404,-94.5569819185
L00010,New York,Condo,1839386.9924549507,3462.0226393851,2023-10-23,A0013,35.3703968658,-108.1193181126
L00011,New York,Apartment,1486768.99430001,2366.0004685872,2024-01-31,A0019,39.6667837428,-116.9028968424
L00012,New York,House,1917147.0045034816,1326.9966016133,2023-07-14,A0018,32.0067048962,-103.728939014
L00013,Houston,Condo,441109.9971346703,3532.0009552261,2023-07-01,A0014,35.9403141234,-79.4629622952
L00014,Chicago,Apartment,1377440.009039592,1900.9981292033,2023-10-01,A0047,29.7726767961,-95.1627789955
L00015,Los Angeles,House,1069428.9949294312,3607.9958386703,2023-05-19,A0041,39.2149977097,-122.2951451057
L00016,Phoenix,House,1535739.9878467089,3155.9855295615,2024-03-07,A0050,39.5606135828,-115.1161514064
L00017,New York,House,1823443.991926888,761.9910429221,2024-02-17,A0021,26.5653340022,-69.9599783535
L00018,Houston,Condo,238806.9991160855,2228.0055864515,2024-04-12,A0037,48.1698905658,-78.1024236235
L00019,Chicago,House,1474553.9971662802,4588.9969614987,2023-07-22,A0042,32.3174646036,-119.3352010399
L00020,Houston,House,655493.0037820246,1642.993953628,2023-05-07,A0048,41.4292958213,-99.4574502664
